Ticker: MSFT | Train: 1035 | Test: 346

Running BBVI (GJR-GARCH)...
..Iter    0 | ω=1.026500 α=0.4974 γ=0.2491 β=0.1906 | Persist=0.8125
....................Iter   10 | ω=1.069180 α=0.4449 γ=0.2607 β=0.2324 | Persist=0.8077
....................Iter   20 | ω=0.987823 α=0.3907 γ=0.2791 β=0.2752 | Persist=0.8055
....................Iter   30 | ω=0.924998 α=0.3422 γ=0.2904 β=0.3211 | Persist=0.8085
....................Iter   40 | ω=0.839698 α=0.3005 γ=0.2915 β=0.3672 | Persist=0.8135
....................Iter   50 | ω=0.757552 α=0.2655 γ=0.2864 β=0.4138 | Persist=0.8225
....................Iter   60 | ω=0.665945 α=0.2347 γ=0.2802 β=0.4577 | Persist=0.8325
....................Iter   70 | ω=0.613422 α=0.2095 γ=0.2634 β=0.5044 | Persist=0.8456
....................Iter   80 | ω=0.533368 α=0.1900 γ=0.2504 β=0.5422 | Persist=0.8574
....................Iter   90 | ω=0.472948 α=0.1717 γ=0.2445 β=0.5759 | Persist=0.8699
....................Iter  100 | ω=0.423691 α=0.1570 γ=0.2386 β=0.6053 | Persist=0.8816
....................Iter  110 | ω=0.387204 α=0.1447 γ=0.2328 β=0.6312 | Persist=0.8923
....................Iter  120 | ω=0.352655 α=0.1342 γ=0.2295 β=0.6521 | Persist=0.9011
....................Iter  130 | ω=0.325376 α=0.1259 γ=0.2270 β=0.6689 | Persist=0.9082
....................Iter  140 | ω=0.303345 α=0.1188 γ=0.2239 β=0.6833 | Persist=0.9141
....................Iter  150 | ω=0.286857 α=0.1132 γ=0.2207 β=0.6959 | Persist=0.9194
....................Iter  160 | ω=0.278298 α=0.1082 γ=0.2155 β=0.7083 | Persist=0.9243
....................Iter  170 | ω=0.260214 α=0.1044 γ=0.2183 β=0.7135 | Persist=0.9271
....................Iter  180 | ω=0.252182 α=0.1013 γ=0.2151 β=0.7214 | Persist=0.9302
....................Iter  190 | ω=0.245408 α=0.0990 γ=0.2140 β=0.7270 | Persist=0.9329
....................Iter  200 | ω=0.235675 α=0.0965 γ=0.2166 β=0.7298 | Persist=0.9346
....................Iter  210 | ω=0.238183 α=0.0945 γ=0.2128 β=0.7364 | Persist=0.9372
....................Iter  220 | ω=0.226301 α=0.0926 γ=0.2182 β=0.7364 | Persist=0.9381
....................Iter  230 | ω=0.225635 α=0.0916 γ=0.2158 β=0.7402 | Persist=0.9397
....................Iter  240 | ω=0.224044 α=0.0907 γ=0.2123 β=0.7440 | Persist=0.9408
....................Iter  250 | ω=0.219248 α=0.0903 γ=0.2117 β=0.7455 | Persist=0.9416
....................Iter  260 | ω=0.216321 α=0.0896 γ=0.2113 β=0.7471 | Persist=0.9423
....................Iter  270 | ω=0.215183 α=0.0887 γ=0.2116 β=0.7485 | Persist=0.9430
....................Iter  280 | ω=0.213897 α=0.0880 γ=0.2130 β=0.7495 | Persist=0.9440
....................Iter  290 | ω=0.214609 α=0.0875 γ=0.2115 β=0.7516 | Persist=0.9449
....................Iter  300 | ω=0.209511 α=0.0869 γ=0.2149 β=0.7507 | Persist=0.9450
....................Iter  310 | ω=0.211318 α=0.0866 γ=0.2108 β=0.7536 | Persist=0.9456
....................Iter  320 | ω=0.207732 α=0.0862 γ=0.2141 β=0.7527 | Persist=0.9460
....................Iter  330 | ω=0.205931 α=0.0860 γ=0.2154 β=0.7526 | Persist=0.9463
....................Iter  340 | ω=0.206208 α=0.0857 γ=0.2141 β=0.7539 | Persist=0.9466
....................Iter  350 | ω=0.206967 α=0.0858 γ=0.2114 β=0.7555 | Persist=0.9470
....................Iter  360 | ω=0.204795 α=0.0852 γ=0.2135 β=0.7552 | Persist=0.9472
....................Iter  370 | ω=0.205397 α=0.0849 γ=0.2129 β=0.7562 | Persist=0.9476
....................Iter  380 | ω=0.204493 α=0.0850 γ=0.2115 β=0.7568 | Persist=0.9476
....................Iter  390 | ω=0.205339 α=0.0850 γ=0.2097 β=0.7579 | Persist=0.9478
....................Iter  400 | ω=0.201395 α=0.0847 γ=0.2129 β=0.7564 | Persist=0.9475
....................Iter  410 | ω=0.200750 α=0.0846 γ=0.2135 β=0.7564 | Persist=0.9477
....................Iter  420 | ω=0.202300 α=0.0847 γ=0.2115 β=0.7576 | Persist=0.9480
....................Iter  430 | ω=0.200322 α=0.0851 γ=0.2118 β=0.7570 | Persist=0.9479
....................Iter  440 | ω=0.202746 α=0.0850 γ=0.2109 β=0.7580 | Persist=0.9484
....................Iter  450 | ω=0.200724 α=0.0847 γ=0.2135 β=0.7570 | Persist=0.9484
....................Iter  460 | ω=0.200960 α=0.0848 γ=0.2133 β=0.7572 | Persist=0.9486
....................Iter  470 | ω=0.202353 α=0.0848 γ=0.2129 β=0.7576 | Persist=0.9488
....................Iter  480 | ω=0.201216 α=0.0849 γ=0.2121 β=0.7577 | Persist=0.9486
....................Iter  490 | ω=0.201356 α=0.0850 γ=0.2121 β=0.7579 | Persist=0.9489
....................Iter  500 | ω=0.200768 α=0.0849 γ=0.2129 β=0.7576 | Persist=0.9489
....................Iter  510 | ω=0.201898 α=0.0845 γ=0.2126 β=0.7582 | Persist=0.9490
....................Iter  520 | ω=0.200322 α=0.0840 γ=0.2147 β=0.7574 | Persist=0.9488
....................Iter  530 | ω=0.202637 α=0.0842 γ=0.2122 β=0.7588 | Persist=0.9491
....................Iter  540 | ω=0.200471 α=0.0841 γ=0.2148 β=0.7573 | Persist=0.9489
....................Iter  550 | ω=0.201419 α=0.0842 γ=0.2128 β=0.7584 | Persist=0.9490
....................Iter  560 | ω=0.202613 α=0.0844 γ=0.2119 β=0.7589 | Persist=0.9492
....................Iter  570 | ω=0.199813 α=0.0846 γ=0.2137 β=0.7576 | Persist=0.9490
....................Iter  580 | ω=0.199855 α=0.0846 γ=0.2128 β=0.7580 | Persist=0.9490
....................Iter  590 | ω=0.200646 α=0.0846 γ=0.2124 β=0.7583 | Persist=0.9491
....................Iter  600 | ω=0.199369 α=0.0842 γ=0.2155 β=0.7571 | Persist=0.9490
....................Iter  610 | ω=0.200213 α=0.0838 γ=0.2161 β=0.7573 | Persist=0.9491
....................Iter  620 | ω=0.203856 α=0.0835 γ=0.2135 β=0.7592 | Persist=0.9495
....................Iter  630 | ω=0.201296 α=0.0837 γ=0.2145 β=0.7582 | Persist=0.9492
....................Iter  640 | ω=0.199676 α=0.0836 γ=0.2160 β=0.7575 | Persist=0.9490
....................Iter  650 | ω=0.203179 α=0.0837 γ=0.2126 β=0.7592 | Persist=0.9492
....................Iter  660 | ω=0.202168 α=0.0839 γ=0.2129 β=0.7588 | Persist=0.9491
